编码,名称,别名编码,别名名称,
11001,11001,北京大学,11001,北京大学
11002,11002,清华大学,11002,清华大学
11003,11003,中国人民大学,11003,中国人民大学
11004,11004,北京师范大学,11004,北京师范大学
11005,11005,北京航空航天大学,11005,北京航空航天大学
11006,11006,北京农业大学,11006,北京农业大学
11007,11007,北京理工大学,11007,北京理工大学
11008,11008,中央民族学院,11008,中央民族学院
11009,11009,北京交通大学,11009,北京交通大学
11010,11010,北京体育学院,11010,北京体育学院
11011,11011,北京科技大学,11011,北京科技大学
11012,11012,北京化工学院,11012,北京化工学院
11013,11013,北京邮电学院,11013,北京邮电学院
11014,11014,北京林业大学,11014,北京林业大学
11015,11015,北京中医学院,11015,北京中医学院
11016,11016,北京外国语学院,11016,北京外国语学院
11017,11017,北京语言学院,11017,北京语言学院
11018,11018,对外经济贸易大学,11018,对外经济贸易大学
11019,11019,中央音乐学院,11019,中央音乐学院
11020,11020,北京农业工程大学,11020,北京农业工程大学
11021,11021,北京医科大学,11021,北京医科大学
11022,11022,北方交通大学,11009,北京交通大学
11023,11023,中国农业大学,11023,中国农业大学
11024,11024,北京农机化学院,11020,北京农业工程大学
12001,12001,南开大学,12001,南开大学
12002,12002,天津大学,12002,天津大学
13001,13001,河北工学院,13004,河北工业大学
13002,13002,华北电力大学,13002,华北电力大学
13003,13003,河北煤炭建筑工程学院,13003,河北煤炭建筑工程学院
13004,13004,河北工业大学,13004,河北工业大学
13005,13005,河北电力学院,13002,华北电力大学
14001,14001,山西农业大学,14001,山西农业大学
15001,15001,内蒙古大学,15001,内蒙古大学
21001,21001,东北工学院,80065,东北大学
21002,21002,大连海运学院,80400,大连海事大学
21003,21003,大连理工大学,21003,大连理工大学
21004,21004,辽宁大学,21004,辽宁大学
21005,21005,阜新矿业学院,80509,辽宁工程技术大学（阜新矿业学院）
22001,22001,吉林大学,22001,吉林大学
22002,22002,吉林工业大学,22002,吉林工业大学
22003,22003,长春地质学院,22003,长春地质学院
23001,23001,哈尔滨工业大学,23001,哈尔滨工业大学
23002,23002,哈尔滨船舶工程学院,80380,哈尔滨工程大学
23003,23003,东北重型机械学院,23003,东北重型机械学院
23004,23004,东北石油大学,23004,东北石油大学
23005,23005,黑龙江大学,23005,黑龙江大学
23006,23006,哈尔滨建筑工程学院,23006,哈尔滨建筑工程学院
31001,31001,上海交通大学,31001,上海交通大学
31002,31002,复旦大学,31002,复旦大学
31003,31003,同济大学,31003,同济大学
31004,31004,华东师范大学,31004,华东师范大学
31005,31005,华东化工学院,31011,华东理工大学
31006,31006,上海外国语学院,31006,上海外国语学院
31007,31007,中国纺织大学,31009,东华大学（中国纺织大学）
31008,31008,上海医科大学,31008,上海医科大学
31009,31009,东华大学（中国纺织大学）,31009,东华大学（中国纺织大学）
31010,31010,中国石油大学（华东）,31010,中国石油大学（华东）
31011,31011,华东理工大学,31011,华东理工大学
31014,31014,南京理工大学,31014,南京理工大学
31015,31015,华东石油学院,31010,中国石油大学（华东）
32001,32001,南京大学,32001,南京大学
32002,32002,东南大学,32002,东南大学
32003,32003,南京航空学院,32003,南京航空学院
32004,32004,华东工学院,31014,南京理工大学
32005,32005,河海大学,32005,河海大学
32006,32006,南京农业大学,32006,南京农业大学
32007,32007,中国药科大学,32007,中国药科大学
32008,32008,南京气象学院,32008,南京气象学院
32009,32009,中国矿业大学,32009,中国矿业大学
32010,32010,江苏工学院,32010,江苏工学院
32011,32011,南京化工学院,32011,南京化工学院
32012,32012,南京林业大学,32012,南京林业大学
32013,32013,麦考瑞大学,32013,麦考瑞大学
33001,33001,浙江大学,33001,浙江大学
34001,34001,中国科学技术大学,34001,中国科学技术大学
