编码,名称,上级编码,上级名称,起始日期,终止日期,别名编码,别名名称,级别
110000,北京市,110000,北京市,31/12/2002,31/08/2013,110000,北京市,省
110101,东城区,110000,北京市,31/12/2002,31/08/2013,110101,东城区,地级市（区）
110102,西城区,110000,北京市,31/12/2002,31/08/2013,110102,西城区,地级市（区）
110103,崇文区,110000,北京市,31/12/2002,31/10/2010,110103,崇文区,地级市（区）
110104,宣武区,110000,北京市,31/12/2002,31/10/2010,110104,宣武区,地级市（区）
110105,朝阳区,110000,北京市,31/12/2002,31/08/2013,110105,朝阳区,地级市（区）
110106,丰台区,110000,北京市,31/12/2002,31/08/2013,110106,丰台区,地级市（区）
110107,石景山区,110000,北京市,31/12/2002,31/08/2013,110107,石景山区,地级市（区）
110108,海淀区,110000,北京市,31/12/2002,31/08/2013,110108,海淀区,地级市（区）
110109,门头沟区,110000,北京市,31/12/2002,31/08/2013,110109,门头沟区,地级市（区）
110111,房山区,110000,北京市,31/12/2002,31/08/2013,110111,房山区,地级市（区）
110112,通州区,110000,北京市,31/12/2002,31/08/2013,110112,通州区,地级市（区）
110113,顺义区,110000,北京市,31/12/2002,31/08/2013,110113,顺义区,地级市（区）
110114,昌平区,110000,北京市,31/12/2002,31/08/2013,110114,昌平区,地级市（区）
110115,大兴区,110000,北京市,31/12/2002,31/08/2013,110115,大兴区,地级市（区）
110116,怀柔区,110000,北京市,31/12/2002,31/08/2013,110116,怀柔区,地级市（区）
110117,平谷区,110000,北京市,31/12/2002,31/08/2013,110117,平谷区,地级市（区）
110224,大兴县,110000,北京市,01/11/2000,01/11/2000,110224,大兴县,地级市（区）
110226,平谷县,110000,北京市,01/11/2000,01/11/2000,110226,平谷县,地级市（区）
110227,怀柔县,110000,北京市,01/11/2000,01/11/2000,110227,怀柔县,地级市（区）
110228,密云区,110000,北京市,31/12/2002,31/08/2013,110228,密云区,地级市（区）
110228.5,密云县,110000,北京市,01/01/2001,31/12/2019,110228,密云区,地级市（区）
110229,延庆区,110000,北京市,31/12/2002,31/08/2013,110229,延庆区,地级市（区）
110229.5,延庆县,110000,北京市,01/01/2001,31/12/2019,110229,延庆区,地级市（区）
110230,京郊,110000,北京市,31/12/2002,31/08/2013,110230,京郊,地级市（区）
110231,顺义县,110000,北京市,31/12/2002,31/08/2013,110231,顺义县,地级市（区）
110232,房山县,110000,北京市,01/01/2000,01/01/2009,110232,房山县,地级市（区）
120000,天津市,120000,天津市,31/12/2002,31/08/2013,120000,天津市,省
120101,和平区,120000,天津市,31/12/2002,31/08/2013,120101,和平区,地级市（区）
120102,河东区,120000,天津市,31/12/2002,31/08/2013,120102,河东区,地级市（区）
120103,河西区,120000,天津市,31/12/2002,31/08/2013,120103,河西区,地级市（区）
120104,南开区,120000,天津市,31/12/2002,31/08/2013,120104,南开区,地级市（区）
120105,河北区,120000,天津市,31/12/2002,31/08/2013,120105,河北区,地级市（区）
120106,红桥区,120000,天津市,31/12/2002,31/08/2013,120106,红桥区,地级市（区）
120107,塘沽区,120000,天津市,31/12/2002,31/12/2009,120107,塘沽区,地级市（区）
120108,汉沽区,120000,天津市,31/12/2002,31/12/2009,120108,汉沽区,地级市（区）
120109,大港区,120000,天津市,31/12/2002,31/12/2009,120109,大港区,地级市（区）
120110,东丽区,120000,天津市,31/12/2002,31/08/2013,120110,东丽区,地级市（区）
120111,西青区,120000,天津市,31/12/2002,31/08/2013,120111,西青区,地级市（区）
120112,津南区,120000,天津市,31/12/2002,31/08/2013,120112,津南区,地级市（区）
120113,北辰区,120000,天津市,31/12/2002,31/08/2013,120113,北辰区,地级市（区）
120114,武清区,120000,天津市,31/12/2002,31/08/2013,120114,武清区,地级市（区）
120115,宝坻区,120000,天津市,31/12/2002,31/08/2013,120115,宝坻区,地级市（区）
120116,滨海新区,120000,天津市,31/12/2008,31/08/2013,120116,滨海新区,地级市（区）
120221,宁河县,120000,天津市,31/12/2002,31/08/2013,120221,宁河县,地级市（区）
120223,静海县,120000,天津市,31/12/2002,31/08/2013,120223,静海县,地级市（区）
120224,宝坻县,120000,天津市,01/11/2000,01/11/2000,120224,宝坻县,地级市（区）
120225,蓟县,120000,天津市,31/12/2002,31/08/2013,120225,蓟县,地级市（区）
120226,武清县,120000,天津市,01/01/1949,01/01/2008,120226,武清县,地级市（区）
130000,河北省,130000,河北省,31/12/2002,31/08/2013,130000,河北省,省
130100,石家庄市,130000,河北省,31/12/2002,31/08/2013,130100,石家庄市,地级市（区）
130102,长安区,130100,石家庄市,31/12/2002,31/08/2013,130102,长安区,区县
130103,桥东区,130100,石家庄市,31/12/2002,31/08/2013,130103,桥东区,区县
130104,桥西区,130100,石家庄市,31/12/2002,31/08/2013,130104,桥西区,区县
130105,新华区,130100,石家庄市,31/12/2002,31/08/2013,130105,新华区,区县
130107,井陉矿区,130100,石家庄市,31/12/2002,31/08/2013,130107,井陉矿区,区县
130108,裕华区,130100,石家庄市,31/12/2002,31/08/2013,130108,裕华区,区县
130121,井陉县,130100,石家庄市,31/12/2002,31/08/2013,130121,井陉县,区县
130123,正定县,130100,石家庄市,31/12/2002,31/08/2013,130123,正定县,区县
130124,栾城县,130100,石家庄市,31/12/2002,31/08/2013,130124,栾城县,区县
130125,行唐县,130100,石家庄市,31/12/2002,31/08/2013,130125,行唐县,区县
130126,灵寿县,130100,石家庄市,31/12/2002,31/08/2013,130126,灵寿县,区县
130127,高邑县,130100,石家庄市,31/12/2002,31/08/2013,130127,高邑县,区县
130128,深泽县,130100,石家庄市,31/12/2002,31/08/2013,130128,深泽县,区县
130129,赞皇县,130100,石家庄市,31/12/2002,31/08/2013,130129,赞皇县,区县
130130,无极县,130100,石家庄市,31/12/2002,31/08/2013,130130,无极县,区县
130131,平山县,130100,石家庄市,31/12/2002,31/08/2013,130131,平山县,区县
