,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
1,孙永春,男,汉族,12/06/1957,山东省,潍坊市,寿光市,硕士,01/07/1976,在职,,,,,,,,,,,,,,,,,
2,雷建国,男,汉族,01/04/1955,河北省,保定市,高碑店市,硕士,01/08/1974,在职,,,,,,,,,,,,,,,,,
3,黄胜,男,汉族,11/09/1954,山东省,威海市,,硕士,01/05/1975,立案查处,,是,贪污腐败,,否,24/11/2011,中纪委,是,受贿罪,人民币1223万,08/04/2013,江苏省,南京市,无期徒刑,否,,
4,吴翠云,女,汉族,01/09/1958,山东省,淄博市,周村区,硕士,01/05/1976,在职,,,,,,,,,,,,,,,,,
5,陈先运,男,汉族,01/09/1962,山东省,菏泽市,成武县,博士,01/06/1984,在职,,,,,,,,,,,,,,,,,
6,郭兆信,男,汉族,01/09/1951,山东省,临沂市,平邑县,硕士,01/04/1973,在职,,,,,,,,,,,,,,,,,
7,宋远方,男,汉族,01/08/1957,河北省,邢台市,隆尧县,博士后,01/07/1985,在职,,,,,,,,,,,,,,,,,
8,张秋波,男,汉族,12/10/1953,山东省,青岛市,莱西市,硕士,01/01/1977,在职,,,,,,,,,,,,,,,,,
9,林峰海,男,汉族,01/07/1962,山东省,烟台市,栖霞市,本科,01/07/1985,在职,,,,,,,,,,,,,,,,,
10,石军,男,汉族,01/11/1952,山东省,东营市,利津县,博士,01/12/1973,退休,,,,,,,,,,,,,,,,,
11,姜杰,男,汉族,01/10/1965,山东省,青岛市,胶州市,博士,01/04/1985,在职,,,,,,,,,,,,,,,,,
12,刘国信,男,汉族,01/09/1946,山东省,威海市,荣成市,本科,01/08/1966,退休,,,,,,,,,,,,,,,,,
13,张建华,男,汉族,01/07/1954,山东省,烟台市,,硕士,01/07/1973,在职,,,,,,,,,,,,,,,,,
14,孙守璞,男,汉族,01/10/1946,山东省,烟台市,牟平区,硕士,01/07/1966,退休,,,,,,,,,,,,,,,,,
15,崔曰臣,男,汉族,01/11/1949,山东省,德州市,平原县,专科,01/08/1976,在职,,,,,,,,,,,,,,,,,
16,王培廷,男,汉族,01/01/1953,山东省,临沂市,费县,专科,01/03/1976,在职,,,,,,,,,,,,,,,,,
17,孙述涛,男,汉族,01/01/1965,山东省,潍坊市,高密市,博士,01/11/1985,在职,,,,,,,,,,,,,,,,,
18,张惠,女,汉族,01/04/1967,山东省,烟台市,,硕士,01/06/1988,在职,,,,,,,,,,,,,,,,,
19,吴官正,男,汉族,01/08/1938,江西省,上饶市,余干县,硕士,01/03/1962,退休,,,,,,,,,,,,,,,,,
20,张高丽,男,汉族,01/11/1946,福建省,泉州市,晋江市,本科,01/12/1973,在职,,,,,,,,,,,,,,,,,
21,李建国(山东省),男,汉族,01/04/1946,山东省,菏泽市,鄄城县,本科,01/06/1971,在职,,,,,,,,,,,,,,,,,
22,姜异康,男,汉族,01/01/1953,山东省,烟台市,招远市,硕士,01/12/1970,在职,,,,,,,,,,,,,,,,,
23,韩寓群,男,汉族,01/09/1943,江苏省,徐州市,睢宁县,本科,01/12/1975,退休,,,,,,,,,,,,,,,,,
24,姜大明,男,汉族,01/03/1953,山东省,威海市,荣成市,硕士,01/12/1976,在职,,,,,,,,,,,,,,,,,
25,邓向阳,男,汉族,01/06/1961,山东省,威海市,荣成市,本科,01/07/1985,在职,,,,,,,,,,,,,,,,,
26,孙德汉,男,汉族,01/11/1950,山东省,烟台市,,硕士,01/04/1973,退休,,,,,,,,,,,,,,,,,
27,王宗廉,男,汉族,01/07/1944,山东省,临沂市,,硕士,01/07/1971,退休,,,,,,,,,,,,,,,,,
28,安世银,男,汉族,01/01/1954,山东省,聊城市,东阿县,专科,01/02/1975,在职,,,,,,,,,,,,,,,,,
29,张光峰,男,汉族,01/05/1968,山东省,德州市,平原县,硕士,01/06/1992,在职,,,,,,,,,,,,,,,,,
30,李明先,男,汉族,01/01/1945,山东省,烟台市,蓬莱县,本科,01/07/1982,退休,,,,,,,,,,,,,,,,,
31,陈光,男,汉族,01/11/1956,山东省,潍坊市,寿光县,本科,01/12/1975,在职,,,,,,,,,,,,,,,,,
32,赵润田,男,汉族,01/09/1956,河南省,濮阳市,台前县,本科,01/08/1984,在职,,,,,,,,,,,,,,,,,
33,杜昌文,男,汉族,01/10/1957,山东省,济宁市,嘉祥县,硕士,01/01/1976,在职,,,,,,,,,,,,,,,,,
34,刘士合,男,汉族,01/01/1955,山东省,滨州市,沾化县,硕士,01/12/1980,退休,,,,,,,,,,,,,,,,,
35,孙爱军,男,汉族,01/03/1972,山东省,青岛市,平度县,博士,01/05/1993,在职,,,,,,,,,,,,,,,,,
36,贾万志,男,汉族,01/10/1952,山东省,枣庄市,滕州市,硕士,01/05/1975,在职,,,,,,,,,,,,,,,,,
37,马平昌,男,汉族,01/02/1957,山东省,淄博市,,硕士,01/12/1976,在职,,,,,,,,,,,,,,,,,
38,孙守刚,男,汉族,01/08/1965,山东省,东营市,利津县,硕士,01/01/1984,在职,,,,,,,,,,,,,,,,,
39,张振川,男,汉族,01/05/1954,山东省,烟台市,栖霞县,硕士,01/12/1976,退休,,,,,,,,,,,,,,,,,
40,周齐,男,汉族,01/11/1949,江苏省,无锡市,宜兴市,本科,01/07/1972,退休,,,,,,,,,,,,,,,,,
41,吕在模,男,汉族,01/11/1954,山东省,威海市,乳山市,专科,01/12/1972,立案查处,,是,违纪,,否,28/07/2014,山东省纪委,是,受贿罪、贪污罪、挪用公款罪,人民币1346万元,16/08/2016,山东省,淄博市,,,,
42,梅永红,男,汉族,01/09/1965,湖北省,黄冈市,黄梅县,硕士,01/12/1986,在职,,,,,,,,,,,,,,,,,
43,张传林,男,汉族,01/05/1952,山东省,日照市,,硕士,01/11/1971,在职,,,,,,,,,,,,,,,,,
44,马金忠,男,汉族,01/01/1949,山东省,潍坊市,寿光市,专科,01/02/1971,退休,,,,,,,,,,,,,,,,,
45,刘玉祥(山东省),男,汉族,01/05/1952,山东省,滨州市,博兴县,硕士,01/03/1972,退休,,,,,,,,,,,,,,,,,
46,陈伟(浙江省),男,汉族,01/10/1966,浙江省,金华市,,博士,01/02/1987,降/辞/撤职,,是,违纪,降为科级非领导职务,是,28/02/2015,山东省纪委,否,,,,,,,,,
