编码,名称,归属大类,别名,名称,别名归属大类
1351,筹备组,党委,1351,筹备组,党委
1353,农业研究室,党委,1353,农业研究室,党委
1354,文教部（党委）,党委,1354,文教部（党委）,党委
5610,大同齿轮厂,地方企业,5610,大同齿轮厂,地方企业
5611,大同市转播电视台,地方企业,5611,大同市转播电视台,地方企业
1435,黑龙江日报社,党委,1435,黑龙江日报社,党委
5613,呼和浩特市第一运输公司,地方企业,5613,呼和浩特市第一运输公司,地方企业
5614,晋西机器厂,地方企业,5614,晋西机器厂,地方企业
5615,晋中机床厂,地方企业,5615,晋中机床厂,地方企业
5616,临汾地区水泥厂,地方企业,5616,临汾地区水泥厂,地方企业
1436,吕梁日报社,党委,1436,吕梁日报社,党委
5618,吕梁地区机械厂,地方企业,5618,吕梁地区机械厂,地方企业
5086,攀枝花钢铁公司,中央企业,5086,攀枝花钢铁公司,中央企业
5620,平陆县氧化铝厂,地方企业,5620,平陆县氧化铝厂,地方企业
5621,平朔矿区,地方企业,5621,平朔矿区,地方企业
5622,山西机器厂,地方企业,5622,山西机器厂,地方企业
1437,山西经济日报社,党委,1437,山西经济日报社,党委
1438,山西日报社,党委,1438,山西日报社,党委
5625,山西省交通信息通信公司,地方企业,5625,山西省交通信息通信公司,地方企业
5626,山西省经济开发投资公司,地方企业,5626,山西省经济开发投资公司,地方企业
5627,山西省煤炭运销总公司,地方企业,5627,山西省煤炭运销总公司,地方企业
5628,山西省体育服务公司,地方企业,5628,山西省体育服务公司,地方企业
5629,山西太钢不锈钢股份有限公司,地方企业,5629,山西太钢不锈钢股份有限公司,地方企业
5630,省煤炭地质公司,地方企业,5630,省煤炭地质公司,地方企业
5631,什林煤矿,地方企业,5631,什林煤矿,地方企业
5632,太旧高速公路管理有限责任公司,地方企业,5632,太旧高速公路管理有限责任公司,地方企业
5633,太原钢铁（集团）公司,地方企业,5633,太原钢铁（集团）公司,地方企业
5634,太原钢铁集团有限公司,地方企业,5633,太原钢铁（集团）公司,地方企业
5635,太原市第一毛纺织厂,地方企业,5635,太原市第一毛纺织厂,地方企业
5636,太原市无线电厂,地方企业,5636,太原市无线电厂,地方企业
5637,太原重工,地方企业,5638,太原重型机器厂,地方企业
5638,太原重型机器厂,地方企业,5638,太原重型机器厂,地方企业
5639,太原重型机械（集团）有限公司,地方企业,5638,太原重型机器厂,地方企业
5640,忻州地区建筑总公司,地方企业,5640,忻州地区建筑总公司,地方企业
5641,雁北汽车运输公司,地方企业,5641,雁北汽车运输公司,地方企业
5642,榆次液压件厂,地方企业,5642,榆次液压件厂,地方企业
5643,运城市拖拉机配件厂,地方企业,5643,运城市拖拉机配件厂,地方企业
3023,中国改革报社,政府_国务院,3023,中国改革报社,政府_国务院
3024,中国信息报社,政府_国务院,3024,中国信息报社,政府_国务院
5646,稷山县果品公司,地方企业,5646,稷山县果品公司,地方企业
3513,城关公社,基层组织,3513,城关公社,基层组织
3514,大寨公社,基层组织,3514,大寨公社,基层组织
3515,刀把口公社,基层组织,3515,刀把口公社,基层组织
3516,高村公社,基层组织,3516,高村公社,基层组织
3517,古城乡,基层组织,3517,古城乡,基层组织
3518,郝庄公社,基层组织,3518,郝庄公社,基层组织
3519,河头乡,基层组织,3519,河头乡,基层组织
3520,黄池乡,基层组织,3520,黄池乡,基层组织
3521,贾家峁公社,基层组织,3521,贾家峁公社,基层组织
3522,木寨村,基层组织,3522,木寨村,基层组织
3523,潘明公社,基层组织,3523,潘明公社,基层组织
3524,齐村大队,基层组织,3524,齐村大队,基层组织
3525,祁家庄公社,基层组织,3525,祁家庄公社,基层组织
3526,朔北乡,基层组织,3526,朔北乡,基层组织
3527,四清工作队,基层组织,3527,四清工作队,基层组织
3528,王寨公社,基层组织,3528,王寨公社,基层组织
3529,西留公社,基层组织,3529,西留公社,基层组织
3530,西洛镇,基层组织,3530,西洛镇,基层组织
3531,向阳堡公社,基层组织,3531,向阳堡公社,基层组织
3532,小店公社,基层组织,3532,小店公社,基层组织
3533,小井峪公社,基层组织,3533,小井峪公社,基层组织
7015,空军后勤部,军队,7015,空军后勤部,军队
7016,空军后勤学校,军队,7016,空军后勤学校,军队
6632,全国体育总会,行业协会_人民团体,6632,全国体育总会,行业协会_人民团体
2801,标准计量局,政府_国务院,2801,标准计量局,政府_国务院
2802,财税局,政府_国务院,2802,财税局,政府_国务院
2803,财政金融贸易委员会,政府_国务院,2803,财政金融贸易委员会,政府_国务院
2804,城市社会经济调查队,政府_国务院,2804,城市社会经济调查队,政府_国务院
2805,地矿厅,政府_国务院,34174,地质矿产部/厅/局,政府_国务院
1432,对台办公室,党委,1313,台湾事务（工作）办公室,党委
2807,高速公路管理局,政府_国务院,2807,高速公路管理局,政府_国务院
2808,工作队,政府_国务院,2808,工作队,政府_国务院
2809,工交建办公室,政府_国务院,2908,工交办公室,政府_国务院
2810,公路管理局,政府_国务院,2810,公路管理局,政府_国务院
2811,经济和信息化委员会,政府_国务院,2811,经济和信息化委员会,政府_国务院
2812,矿务局,政府_国务院,2812,矿务局,政府_国务院
2813,劳改局,政府_国务院,2813,劳改局,政府_国务院
2814,煤炭资源管理委员会,政府_国务院,2814,煤炭资源管理委员会,政府_国务院
2815,农业综合开发局,政府_国务院,2815,农业综合开发局,政府_国务院
2816,山西省交通计算机通讯中心,政府_国务院,5625,山西省交通信息通信公司,地方企业
2817,商业厅,政府_国务院,2841,商业部/厅/局,政府_国务院
2818,太旧高速公路管理局,政府_国务院,2818,太旧高速公路管理局,政府_国务院
2819,无线电管理委员会,政府_国务院,2819,无线电管理委员会,政府_国务院
2820,重工业局,政府_国务院,2820,重工业局,政府_国务院
5057,中国国际体育旅游公司,中央企业,5057,中国国际体育旅游公司,中央企业
3505,莱山公社,基层组织,3505,莱山公社,基层组织
3506,张华公社,基层组织,3506,张华公社,基层组织
3507,新桥公社,基层组织,3851,新桥乡,基层组织
3508,薛庄公社,基层组织,3508,薛庄公社,基层组织
3509,东棘坨公社姜庄大队,基层组织,3509,东棘坨公社姜庄大队,基层组织
3510,魏庄公社,基层组织,3510,魏庄公社,基层组织
3511,工程科技中心,基层组织,3511,工程科技中心,基层组织
3021,工交（建）办公室,政府_国务院,2908,工交办公室,政府_国务院
4600,共青团委,共青团,4600,共青团委,共青团
5835,香港华鲁集团有限公司,地方企业,5835,香港华鲁集团有限公司,地方企业
4602,组织部（共青团）,共青团,4602,组织部（共青团）,共青团
4603,宣传部（共青团）,共青团,4603,宣传部（共青团）,共青团
4604,青年联合会,共青团,4604,青年联合会,共青团
4605,西宋乡大三合村团支部,共青团,4605,西宋乡大三合村团支部,共青团
4606,西宋公社团委,共青团,4606,西宋公社团委,共青团
5000,中国工商银行,中央企业,5000,中国工商银行,中央企业
5001,中国农业银行,中央企业,5001,中国农业银行,中央企业
5002,中国银行,中央企业,5002,中国银行,中央企业
5003,中国建设银行,中央企业,5003,中国建设银行,中央企业
5004,中国人民保险公司,中央企业,5004,中国人民保险公司,中央企业
5005,交通银行,中央企业,5005,交通银行,中央企业
5006,中国船舶重工集团公司,中央企业,5006,中国船舶重工集团公司,中央企业
5007,中国国际信托投资公司,中央企业,5007,中国国际信托投资公司,中央企业
5008,中国石油化工集团公司,中央企业,5008,中国石油化工集团公司,中央企业
5009,中国有色金属工业总公司,中央企业,5009,中国有色金属工业总公司,中央企业
5010,中国石油天然气集团公司,中央企业,5010,中国石油天然气集团公司,中央企业
5011,中国核工业集团公司,中央企业,5011,中国核工业集团公司,中央企业
5012,中国兵器工业总公司,中央企业,5012,中国兵器工业总公司,中央企业
5013,中国航空工业第一集团公司,中央企业,5013,中国航空工业第一集团公司,中央企业
5014,中国航天科技集团公司,中央企业,5014,中国航天科技集团公司,中央企业
5015,中国航天机电集团公司,中央企业,5015,中国航天机电集团公司,中央企业
5016,中国船舶工业集团公司,中央企业,5016,中国船舶工业集团公司,中央企业
5017,国家电力公司,中央企业,5017,国家电力公司,中央企业
5018,中国航空工业第二集团公司,中央企业,5018,中国航空工业第二集团公司,中央企业
5019,中国兵器装备集团公司,中央企业,5019,中国兵器装备集团公司,中央企业
5020,中国核工业建设集团公司,中央企业,5020,中国核工业建设集团公司,中央企业
5021,中国电信集团公司,中央企业,5021,中国电信集团公司,中央企业
5022,中国铝业公司,中央企业,5022,中国铝业公司,中央企业
5023,中国远洋运输（集团）总公司,中央企业,5023,中国远洋运输（集团）总公司,中央企业
5024,中国化工进出口总公司  ,中央企业,5024,中国化工进出口总公司  ,中央企业
5025,中国五金矿产进出口总公司,中央企业,5025,中国五金矿产进出口总公司,中央企业
5026,中国储备粮管理总公司,中央企业,5026,中国储备粮管理总公司,中央企业
5027,中国移动通信集团公司,中央企业,5027,中国移动通信集团公司,中央企业
5028,中国联合通信有限公司,中央企业,5028,中国联合通信有限公司,中央企业
5029,神华集团有限责任公司,中央企业,5029,神华集团有限责任公司,中央企业
5030,中国粮油食品进出口(集团)公司,中央企业,5030,中国粮油食品进出口(集团)公司,中央企业
5031,中国电子信息产业集团公司,中央企业,5031,中国电子信息产业集团公司,中央企业
5032,中国通用技术（集团)控股有限责任公司,中央企业,5032,中国通用技术（集团)控股有限责任公司,中央企业
5033,中国包装公司   ,中央企业,5033,中国包装公司   ,中央企业
5034,中国建筑工程公司,中央企业,5034,中国建筑工程公司,中央企业
5035,中国汽车工业公司,中央企业,5035,中国汽车工业公司,中央企业
5036,中国海洋石油公司,中央企业,5036,中国海洋石油公司,中央企业
5037,国家开发投资公司,中央企业,5037,国家开发投资公司,中央企业
5038,中国长江三峡工程开发公司,中央企业,5081,中国长江三峡总公司,中央企业
5039,中国第—汽车集团公司,中央企业,5039,中国第—汽车集团公司,中央企业
5040,东风汽车公司  ,中央企业,5070,第二汽车制造厂（东风汽车公司）,中央企业
5041,中国第一重型机械集团公司,中央企业,5041,中国第一重型机械集团公司,中央企业
5042,中国第二重型机械集团公司,中央企业,5042,中国第二重型机械集团公司,中央企业
5043,鞍山钢铁(集团)公司    ,中央企业,5043,鞍山钢铁(集团)公司    ,中央企业
5044,武汉钢铁(集团)公司  ,中央企业,5044,武汉钢铁(集团)公司  ,中央企业
5045,中国海运(集团)公司  ,中央企业,5045,中国海运(集团)公司  ,中央企业
5046,哈尔滨电站设备集团公司,中央企业,5046,哈尔滨电站设备集团公司,中央企业
5047,中国东方电气集团公司,中央企业,5047,中国东方电气集团公司,中央企业
5048,上海宝钢集团公司,中央企业,5048,上海宝钢集团公司,中央企业
5049,招商局集团有限公司,中央企业,5049,招商局集团有限公司,中央企业
5050,国家开发银行,中央企业,5050,国家开发银行,中央企业
5051,中国进出口银行,中央企业,5051,中国进出口银行,中央企业
5052,中国农业开发银行,中央企业,5052,中国农业开发银行,中央企业
5053,中国人寿保险公司,中央企业,5053,中国人寿保险公司,中央企业
5054,中国再保险公司,中央企业,5054,中国再保险公司,中央企业
5055,华润(集团)有限公司,中央企业,5055,华润(集团)有限公司,中央企业
5056,香港中旅(集团)有限公司       ,中央企业,5056,香港中旅(集团)有限公司       ,中央企业
5600,济阳县机械厂,地方企业,5600,济阳县机械厂,地方企业
5601,济南市第三运输公司,地方企业,5601,济南市第三运输公司,地方企业
5602,济阳县农具厂,地方企业,5602,济阳县农具厂,地方企业
5603,利津县农机厂,地方企业,5603,利津县农机厂,地方企业
5604,烟台粉末冶金厂,地方企业,5604,烟台粉末冶金厂,地方企业
5605,烟台二锁厂,地方企业,5605,烟台二锁厂,地方企业
5606,山东电影机械厂,地方企业,5606,山东电影机械厂,地方企业
5607,济宁合成洗涤剂厂,地方企业,5607,济宁合成洗涤剂厂,地方企业
5608,国营锦河农场,地方企业,5608,国营锦河农场,地方企业
5609,葛店化工厂,地方企业,5609,葛店化工厂,地方企业
6600,总工会,行业协会_人民团体,6600,总工会,行业协会_人民团体
6601,商业联合会,行业协会_人民团体,6601,商业联合会,行业协会_人民团体
6602,物流与采购联合会,行业协会_人民团体,6602,物流与采购联合会,行业协会_人民团体
6603,煤炭工业协会,行业协会_人民团体,6603,煤炭工业协会,行业协会_人民团体
6604,机械工业联合会,行业协会_人民团体,6604,机械工业联合会,行业协会_人民团体
6605,钢铁工业协会,行业协会_人民团体,6605,钢铁工业协会,行业协会_人民团体
6606,石油和化学工业协会  ,行业协会_人民团体,6606,石油和化学工业协会  ,行业协会_人民团体
6607,轻工业联合会（轻工业协会 ）/手工业合作总社,行业协会_人民团体,6607,轻工业联合会（轻工业协会 ）/手工业合作总社,行业协会_人民团体
5834,华鲁控股集团有限公司,地方企业,5834,华鲁控股集团有限公司,地方企业
3918,贫下中农协会（贫协）,基层组织,3918,贫下中农协会（贫协）,基层组织
6608,纺织工业联合会（纺织工业协会）,行业协会_人民团体,6608,纺织工业联合会（纺织工业协会）,行业协会_人民团体
1357,整党办,党委,1421,整党办公室,党委
1355,监委,党委,2608,监察部/厅/局,政府_国务院
7048,解放军725厂,军队,7048,解放军725厂,军队
5648,北京第二汽车制造厂,地方企业,5648,北京第二汽车制造厂,地方企业
