,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,,
2657,王泽洪,男,汉族,,江苏省,常州市,,,,,
2675,连廉,男,汉族,,,,,,,,
2692,张东生(阿坝),男,羌族,,,,,,,,
2878,陶昌廉,男,汉族,01/04/1944,四川省,德阳市,中江县,专科,,,
2879,王增钵,男,汉族,01/11/1950,河北省,石家庄市,获鹿县,本科,,,
2880,郎友良,男,汉族,01/05/1952,河北省,唐山市,迁安县,专科,,,
2881,邱型柏,男,汉族,01/12/1953,河南省,信阳市,新县县,不详,,,
2882,杨成熙,男,汉族,01/11/1955,贵州省,遵义市,,本科,,,
3137,张景泉,男,汉族,,,,,,,,
3168,刘汉瑞,男,汉族,,,,,,,,
3170,王以鸿,男,汉族,,,,,,,,
3276,王耘农,男,汉族,01/06/1953,重庆市,,,本科,,,
3383,张国林,男,汉族,,,,,,,,
3686,岳海岩,男,汉族,01/12/1937,辽宁省,锦州市,凌海市,专科,,,
3687,岳喜翠,女,汉族,01/12/1948,山东省,泰安市,,本科,,,
3691,张定发,男,汉族,01/12/1943,上海市,,,本科,,,
3693,张工,男,汉族,01/07/1935,山西省,忻州市,原平市,高中,,,
3696,张黎,男,汉族,01/11/1943,山东省,潍坊市,青州市,本科,,,
3699,张万年,男,汉族,01/08/1928,山东省,烟台市,龙口市,专科,,,
3702,张文台,男,汉族,01/04/1940,山东省,青岛市,胶州市,硕士,,,
3703,张祥林,男,汉族,01/12/1940,山东省,临沂市,高密区,专科,,,
3704,张孝忠,男,汉族,01/04/1946,湖北省,孝感市,应城市,专科,,,
3706,张志坚,男,汉族,01/05/1934,山西省,运城市,闻喜县,专科,,,
3708,赵可铭,男,汉族,01/10/1942,湖北省,武汉市,,专科,,,
3714,周坤仁,男,汉族,01/09/1937,江苏省,镇江市,丹阳市,专科,,,
3717,周遇奇,男,汉族,01/08/1944,湖南省,长沙市,宁乡县,本科,,,
3719,周子玉,男,汉族,01/11/1935,河北省,衡水市,故城县,专科,,,
3720,朱成友,男,汉族,01/04/1941,辽宁省,丹东市,,专科,,,
3721,朱发忠,男,汉族,01/05/1948,甘肃省,白银市,靖远县,专科,,,
3723,朱启,男,汉族,01/05/1942,云南省,大理白族自治州,祥云县,本科,,,
3724,朱文泉,男,汉族,01/10/1942,江苏省,盐城市,滨海县,本科,,,
3730,王国生(1947),男,汉族,01/02/1947,吉林省,白城市,大安市,专科,,,
3731,王喜斌,男,汉族,01/02/1948,黑龙江省,牡丹江市,宁安市,专科,,,
3735,刘源,男,汉族,01/06/1951,湖南省,长沙市,宁乡县,本科,,,
3736,刘成军,男,汉族,01/11/1949,山东省,菏泽市,成武县,不详,,,
3737,刘晓江,男,汉族,01/12/1949,江西省,吉安市,,硕士,,,
3739,孙大发,男,汉族,01/11/1945,安徽省,六安市,金寨县,不详,,,
3741,李长才,男,汉族,01/01/1949,安徽省,合肥市,,不详,,,
3742,李世明,男,汉族,01/12/1948,四川省,绵阳市,,不详,,,
3745,吴胜利,男,汉族,01/08/1945,河北省,沧州市,吴桥县,本科,,,
3746,张阳,男,汉族,01/08/1951,河北省,衡水市,武强县,本科,,,
3747,张又侠,男,汉族,01/07/1950,陕西省,渭南市,,不详,,,
3748,张海阳,男,汉族,01/07/1949,湖南省,岳阳市,平江县,不详,,,
3749,陈国令,男,汉族,01/06/1947,辽宁省,大连市,庄河市,不详,,,
3750,房峰辉,男,汉族,01/04/1951,陕西省,咸阳市,彬县,不详,,,
3751,赵克石,男,汉族,01/11/1947,河北省,保定市,高阳县,专科,,,
3756,黄献中,男,汉族,01/12/1945,山东省,菏泽市,单县,本科,,,
3759,章沁生,男,汉族,01/05/1948,山西省,吕梁市,孝义市,不详,,,
3760,彭小枫,男,汉族,01/02/1945,河南省,南阳市,镇坪县,硕士,,,
3761,董贵山,男,汉族,01/07/1946,河南省,驻马店市,西平县,专科,,,
3762,童世平,男,汉族,01/07/1947,上海市,,,本科,,,
3765,王建平,男,汉族,01/12/1953,河北省,石家庄市,赞皇县,本科,,,
3769,刘振起,男,汉族,01/05/1946,河北省,沧州市,黄骅市,本科,,,
3770,孙建国(1952),男,汉族,01/02/1952,河北省,沧州市,吴桥县,本科,,,
3771,李买富,男,汉族,01/09/1946,山西省,晋城市,沁水县,不详,,,
3773,魏凤和,男,汉族,01/02/1954,山东省,聊城市,茌平县,硕士,,,
3775,艾虎生,男,汉族,01/10/1951,河南省,许昌市,禹州市,硕士,,,
3776,刘振来,男,回族,01/10/1949,北京市,,,不详,,,
3777,苏士亮,男,汉族,01/09/1950,山东省,潍坊市,青州市,不详,,,
3778,秦银河,男,汉族,01/06/1951,河南省,平顶山市,宝丰县,本科,,,
3779,徐一天,男,汉族,01/11/1947,浙江省,宁波市,,本科,,,
3784,徐粉林,男,汉族,01/07/1953,江苏省,常州市,金坛区,本科,,,
3789,张仕波,男,汉族,01/02/1952,浙江省,绍兴市,诸暨市,不详,,,
3796,杨利伟,男,汉族,01/06/1965,辽宁省,葫芦岛市,绥中县,博士,,,
3800,陈左宁,女,汉族,01/10/1957,北京市,,,硕士,,,
3801,褚益民,男,汉族,01/07/1953,江苏省,南通市,如皋市,不详,,,
3802,蔡英挺,男,汉族,01/04/1954,福建省,泉州市,晋江市,不详,,,
3803,曹清,男,汉族,01/12/1952,河北省,石家庄市,平山县,本科,,,
3805,董万才,男,汉族,01/08/1947,安徽省,合肥市,肥西县,硕士,,,
3810,贾廷安,男,汉族,01/09/1952,河南省,平顶山市,叶县,本科,,,
3813,王洪尧,男,汉族,01/11/1951,山东省,济宁市,,硕士,,,
3814,王冠中,男,汉族,01/02/1953,黑龙江省,绥化市,肇东市,硕士,,,
3815,王教成,男,汉族,01/06/1952,安徽省,滁州市,来安县,不详,,,
3816,田中,男,汉族,01/12/1956,河北省,沧州市,黄骅市,不详,,,
3817,朱福熙,男,汉族,01/06/1955,浙江省,台州市,临海市,不详,,,
3819,刘亚洲,男,汉族,19/10/1952,浙江省,宁波市,,本科,,,
3820,刘福连,男,汉族,01/06/1953,安徽省,滁州市,来安县,本科,,,
3822,许耀元,男,汉族,01/12/1952,江苏省,苏州市,吴江区,不详,,,
3824,孙思敬,男,汉族,01/12/1951,山东省,青岛市,,硕士,,,
3825,杜金才,男,汉族,01/01/1952,河北省,衡水市,景县,本科,,,
3826,杜恒岩,男,汉族,01/07/1951,辽宁省,大连市,,本科,,,
3829,杨金山,男,汉族,01/08/1954,河南省,信阳市,息县,本科,,,
3830,吴昌德,男,汉族,01/06/1952,江西省,赣州市,大余县,本科,,,
3836,郑卫平,男,汉族,01/06/1955,山西省,运城市,万荣县,不详,,,
3838,赵宗岐,男,汉族,01/06/1955,黑龙江省,哈尔滨市,宾县,不详,,,
3842,戚建国,男,汉族,01/08/1952,山东省,威海市,文登市,本科,,,
3845,魏亮,男,汉族,01/02/1953,江苏省,南京市,高淳区,不详,,,
3953,王谦,男,汉族,01/03/1946,河北省,石家庄市,深泽县,本科,,,
3955,王瑞林,男,汉族,01/01/1930,山东省,烟台市,招远市,高中,,,
3957,王太岚,男,汉族,01/06/1939,山东省,聊城市,东阿县,本科,,,
3962,温熙森,男,汉族,01/03/1945,江苏省,苏州市,常熟市,硕士,,,
3963,温宗仁,男,汉族,01/09/1940,安徽省,合肥市,巢湖市,专科,,,
3965,吴光宇,男,汉族,01/12/1940,江苏省,淮安市,洪泽县,专科,,,
3969,吴铨叙,男,汉族,01/03/1939,江苏省,苏州市,常熟市,专科,,,
3970,吴双战,男,汉族,01/02/1945,河南省,濮阳市,清丰县,专科,,,
3972,吴玉谦,男,汉族,01/09/1943,山东省,泰安市,宁阳县,专科,,,
3973,伍绍祖,男,汉族,01/04/1939,湖南省,衡阳市,耒阳市,本科,,,
3975,息中朝,男,汉族,01/03/1947,河北省,衡水市,阜城县,专科,,,
3982,刑世忠,男,汉族,01/09/1937,山东省,济南市,,专科,,,
3983,熊光楷,男,汉族,01/02/1939,江西省,南昌市,,本科,,,
3984,徐才厚,男,汉族,01/06/1943,辽宁省,大连市,瓦房店市,本科,,,
3987,徐永清,男,汉族,01/08/1938,浙江省,杭州市,建德市,初中,,,
3988,徐自强,男,汉族,01/06/1938,浙江省,绍兴市,诸暨市,专科,,,
3989,许其亮,男,汉族,01/03/1950,山东省,潍坊市,临朐县,专科,,,
3992,许志功,男,汉族,01/11/1945,河北省,秦皇岛市,昌黎县,不详,,,
3993,杨德清,男,汉族,01/09/1942,湖北省,孝感市,应城市,专科,,,
3994,杨国梁,男,汉族,01/03/1938,河北省,唐山市,遵化市,本科,,,
3995,杨国屏,男,汉族,01/10/1934,湖北省,荆门市,钟祥市,专科,,,
3996,杨怀庆,男,汉族,01/02/1939,山东省,潍坊市,寿光市,不详,,,
4001,由喜贵,男,汉族,01/05/1939,河北省,保定市,定州市,专科,,,
4002,于永波,男,满族,01/09/1931,辽宁省,大连市,瓦房店市,专科,,,
4005,袁守芳,男,汉族,01/03/1939,吉林省,吉林市,,专科,,,
4006,陈志荣(1957),男,黎族,01/12/1957,海南省,五指山市,,硕士,,,
4007,郑群良,男,汉族,01/01/1954,辽宁省,大连市,瓦房店市,不详,,,
4009,高津,男,汉族,01/04/1959,江苏省,泰州市,靖江市,硕士,,,
4011,潘良时,男,汉族,01/10/1956,河北省,邢台市,清河县,硕士,,,
4012,刘胜,男,汉族,01/02/1956,湖南省,株洲市,茶陵县,博士,,,
4015,杨学军,男,汉族,01/04/1963,山东省,德州市,武城县,博士,,,
4016,张建平,男,汉族,01/04/1956,江苏省,常州市,,不详,,,
4017,蒋伟烈,男,汉族,01/06/1955,江苏省,常州市,,博士,,,
4019,牛志忠,男,汉族,01/03/1955,河北省,唐山市,乐亭县,不详,,,
4021,高建国,男,汉族,01/10/1954,山东省,青岛市,胶南市,博士,,,
4024,王宁(1955),男,汉族,01/08/1955,山东省,威海市,荣成市,不详,,,
4026,王健,男,汉族,01/06/1954,河南省,驻马店市,汝南县,不详,,,
4029,范长秘,男,汉族,01/06/1955,山东省,德州市,乐陵市,不详,,,
4032,马伟明,男,汉族,01/04/1960,江苏省,镇江市,扬中市,博士,,,
4033,牛红光,男,汉族,01/10/1951,山东省,潍坊市,安丘市,本科,,,
4038,张瑞清,男,汉族,01/01/1955,河北省,张家口市,阳原县,不详,,,
4039,殷方龙,男,汉族,01/11/1953,江苏省,镇江市,扬中市,不详,,,
4042,许林平,男,汉族,01/03/1957,湖南省,常德市,石门县,不详,,,
4044,贺福初,男,汉族,01/05/1962,湖南省,常德市,澧县,博士,,,
4046,杨晖,男,汉族,01/06/1963,山东省,青岛市,,博士,,,
4047,吴长海,男,汉族,01/02/1954,辽宁省,沈阳市,新民市,不详,,,
4056,乙晓光,男,汉族,01/06/1958,江苏省,宿迁市,沭阳县,不详,,,
